,price,lessons,rating,popular,newly_joined,has_diploma,approved_matirials,reviews,students_count,English,Spanish,Arabic,Italian,Russian,Turkish,Portuguese,German,Danish,Hebrew,French,teaches_count,last_booked,response_time,is_expensive
2452,40,1654,4.9,0,0,0,0,39,27,6,7,0,5,0,0,5,3,0,0,2,1,2,1.0,0
2453,50,73,0.0,0,1,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2454,28,461,5.0,0,0,1,0,6,9,7,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0
2455,93,1455,5.0,0,0,0,1,11,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2456,56,2991,4.9,1,0,1,1,79,56,6,0,0,0,0,7,0,0,0,0,0,1,3,1.0,0
2457,118,103,5.0,0,0,0,0,2,3,7,0,0,0,1,0,0,0,0,0,3,1,0,1.0,1
2458,62,23,0.0,0,1,1,0,0,2,7,0,0,7,0,0,0,0,0,0,0,1,1,1.0,0
2459,37,15,0.0,0,1,0,0,0,4,6,0,0,0,5,0,0,0,0,0,3,1,2,5.0,0
2460,12,9,5.0,0,0,1,0,1,4,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2461,42,2110,4.8,0,0,1,0,16,30,7,0,0,0,0,0,0,0,0,0,0,1,1,7.0,0
2462,22,9,5.0,0,0,1,0,3,4,6,0,0,0,7,0,0,0,0,0,0,1,1,2.0,0
2463,19,319,4.1,0,0,0,0,17,5,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2464,22,130,5.0,0,0,1,0,6,11,7,0,0,0,0,0,0,0,0,0,0,1,2,1.0,0
2465,9,277,5.0,2,0,1,0,5,24,7,0,0,0,0,0,0,0,0,0,5,1,3,4.0,0
2466,31,16,5.0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2467,19,13,0.0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2468,47,18,0.0,0,1,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2469,25,60,5.0,0,0,1,0,4,9,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2470,31,109,5.0,1,0,1,0,9,9,7,0,0,0,0,0,0,0,0,0,0,1,3,1.0,0
2471,28,89,5.0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0
2472,37,53,4.0,0,0,0,0,4,8,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2473,47,932,4.9,3,0,0,0,12,5,5,7,0,0,0,0,0,0,0,0,3,2,1,1.0,0
2474,16,1480,4.8,0,0,1,0,25,35,6,0,0,0,0,0,0,0,0,0,0,1,9,2.0,0
2475,56,103,0.0,0,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2476,65,226,5.0,0,0,1,0,2,4,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2477,124,1895,4.9,0,0,0,0,89,4,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
2478,50,290,5.0,0,0,0,0,2,3,5,0,0,0,7,0,0,0,0,0,2,1,3,4.0,0
2479,62,4805,4.9,0,0,0,0,28,39,5,0,0,0,7,0,0,0,0,0,0,2,5,1.0,0
2480,50,42,0.0,0,1,1,0,0,5,7,2,0,0,0,0,0,0,0,0,5,1,0,1.0,0
2481,25,1662,5.0,0,0,1,0,41,41,7,0,0,0,0,0,0,0,0,0,5,1,4,1.0,0
